Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Canadian Hot Dog,10 Great Lakes Dr Brampton ON L6R 2K7,Food Take Out,2019-07-23,
Caribbean Authentic Restaurant,3-6660 Kennedy Rd Mississauga ON L5T 2M9,Food Take Out,2019-08-23,
Caribbean Fiestaa Restaurant,7-220 Wexford Rd Brampton ON L6Z 4N7,Food Take Out,2020-01-29,
Caribbean Rush,2545 Hurontario St Mississauga ON L5A 2G4,Food Take Out,2019-11-19,
Carousel Foods,4141 Dixie Rd Mississauga ON L4W 1V5,Food Take Out,2020-01-22,
Carpati,9-4665 Central Pky E Mississauga ON L4Z 2V5,Food Take Out,2020-02-27,
Chai Naka,4-90 Kennedy Rd S Brampton ON L6W 3E7,Food Take Out,2020-10-23,
Charleys Philly Steaks,25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2019-12-16,
Chaska - Indian Street Food Obsession,3-2325 Matheson Blvd E Mississauga ON L4W 5B6,Food Take Out,2020-02-07,
Chat Hut,5-6-7106 Airport Rd Mississauga ON L4T 2G8,Food Take Out,2019-12-03,
Chatime,31B-720 Burnhamthorpe Rd W Mississauga ON L5C 3G1,Food Take Out,2019-11-15,
Chatime,1-727-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2020-03-11,
Chatime,101A-150 West Dr Brampton ON L6T 5P1,Food Take Out,2020-01-29,
Che Thuy Nga,7-143 Clarence St Brampton ON L6W 1T2,Food Take Out,2019-05-03,
Chef's Table,2 Prologis Blvd Mississauga ON L5W 1N3,Food Take Out,2020-02-19,
Chef's Table Cafe,5150 Spectrum Way Mississauga ON L4W 5A1,Food Take Out,2019-10-04,
Chibugan Eh!,F2-888 Dundas St E Mississauga ON L4Y 4G6,Food Take Out,2019-11-05,
Chick Chef Inc,2A-377 Burnhamthorpe Rd Mississauga ON L5M 2C2,Food Take Out,2019-11-27,
Chicken Land,2-3405 Glen Erin Dr Mississauga ON L5L 3R6,Food Take Out,2019-09-18,
Chicken Master,15-13 Fisherman Dr Brampton ON L7A 2X9,Food Take Out,2019-10-30,
Chicken N' Dough,2-1706 Dundas St E Mississauga ON L4X 1L7,Food Take Out,,
China 8 Restaurant,110-5602 Tenth Line W Mississauga ON L5M 5S5,Food Take Out,2020-02-21,
China China Palace,11-1891 Rathburn Rd E Mississauga ON L4W 3Z3,Food Take Out,2021-01-13,
China Sea Chinese Foods,2897 Derry Rd E Mississauga ON L4T 1A8,Food Take Out,2020-06-30,
Chinese Express,300 Lakeshore Rd W Mississauga ON L5H 1G6,Food Take Out,2019-09-13,
Chinguacousy Park - Ski Chalet,9050 Bramalea Rd Brampton ON L6Y 2N4,Food Take Out,2020-02-10,
Chipotle Mexican Grill,100 City Centre Dr Mississauga ON,Food Take Out,2020-08-31,
Chocollata - Gourmet Brigadeiros,FM17-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2019-11-20,
Chop Chop Wok,B3-10671 Chinguacousy Rd Brampton ON L7A 0N5,Food Take Out,2020-01-07,
Chung's Caribbean Hut,5-10045 Hurontario St Brampton ON L6Z 0E6,Food Take Out,2020-01-24,
Churrasqueira Grelha D'ouro BBQ & Grill,8-143 Clarence St Brampton ON L6W 1T2,Food Take Out,2019-10-09,
Churrasqueira Nova Esperanca,2-110 Brickyard Way Brampton ON L6V 4N1,Food Take Out,2020-01-22,
CIBO Express - Terminal 1 Gate D20,AT1-L2-6301 6301 Silver Dart Dr Mississauga Ontario L5P 1B2,Food Take Out,2019-12-04,
Cineplex Cinemas Mississauga - Main Concession,309 Rathburn Rd W Mississauga ON L5B 4C1,Food Take Out,2019-03-12,
Cineplex Cinemas Mississauga - Out Takes/Pizza Pizza/YoYos/Starbucks,309 Rathburn Rd W Mississauga ON L5B 4C1,Food Take Out,2019-11-28,
Cineplex Silver City - Concession,50 Great Lakes Dr Brampton ON L6R 2K7,Food Take Out,2019-06-18,
Cineplex Silver City - Food Take Out,50 Great Lakes Brampton ON L6R 2K7,Food Take Out,2020-03-09,
Cineplex-Outtakes,110 Courtneypark Dr E Mississauga ON L5T 2Y3,Food Take Out,2020-02-21,
Cinnabon,1-143B-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2020-02-10,
Cinnabon,1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2019-11-12,
Cinnabon,340-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2020-01-15,
Circle K,2980 Argentia Rd Mississauga ON L5N 8C5,Food Take Out,2019-04-25,
Circle K - Tim Hortons,4885 Mavis Rd Mississauga ON L5R 3W4,Food Take Out,2019-10-09,
Circle K - Tim Hortons,2980 Argentia Rd Mississauga ON L5N 8C5,Food Take Out,2019-09-27,
Circle K- Tim Hortons,632 Burnhamthorpe Rd W Mississauga ON L5B 2C4,Food Take Out,2019-08-02,
Circle K- Tim Hortons,11075 Creditview Rd Brampton ON,Food Take Out,2020-10-13,
Circle K-Tim Hortons,7025 Millcreek Dr Mississauga ON L5N 3R3,Food Take Out,2019-10-18,
Citibank Canada - Tim Hortons,5900 Hurontario St Mississauga ON L5R 0B8,Food Take Out,2019-12-12,
City Hot Pizza,3-225 Castle Oaks Crossing Brampton ON L6P 3X3,Food Take Out,2020-01-29,
City North Pizza,9-373 Steeles Ave W Brampton ON L6Y 0P8,Food Take Out,2019-09-11,
City South Pizza,19-60 cottrelle Blvd Brampton ON L6S 0G1,Food Take Out,2019-02-25,
City South Pizza,7B-25 Kings Cross Rd Brampton ON L6T 3V5,Food Take Out,2020-01-20,
City South Pizza,D4-40 Rivermount Road Brampton Ontario L6Y 6G7,Food Take Out,2019-10-09,
Cluny Grille - Terminal 3,AT3 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2019-11-20,
Co Hai Banh Cuon,6-2580 Shepard Ave Mississauga ON L5A 4K3,Food Take Out,2020-03-06,
Cocelli Pizza,6-205 Van Kirk Dr Brampton ON L7A 3V4,Food Take Out,2020-02-07,
Coco Fresh Tea & Juice,7-2520 Eglinton Ave W Mississauga Ontario L5M 0Y4,Food Take Out,2020-10-15,
CoCo Fresh Tea & Juice,F5-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2019-07-19,
Coco Fresh Tea & Juices,31-1177 Central Pky W Mississauga ON L5C 4P3,Food Take Out,2020-02-12,
Cocoa Berry,B-213-5100 Erin Mills Pkwy Mississauga ON L5M 4Z5,Food Take Out,2020-08-07,
Coffee Time,4141 Dixie Rd Mississauga ON L4W 1V5,Food Take Out,2020-02-18,
Compass - Desjardins/Tim Hortons,3 Robert Speck Pky Mississauga ON L4Z 2G5,Food Take Out,2019-11-29,
Connections Lounge,2-18 Queen St. E Brampton,Food Take Out,2019-12-24,
Cookies by Design,15 Montpelier St Brampton ON L6Y 6H4,Food Take Out,2019-11-04,
Cooksville Fish & Chips,8-55 Dundas St E Mississauga ON L5A 1W1,Food Take Out,2020-02-24,
Cool Scoops,815 Forks Of The Credit Rd Caledon ON L7K 0E7,Food Take Out,2019-07-03,
Cosimo's Cheese & Deli,1051 Dundas St W Mississauga ON L5C 1C3,Food Take Out,2020-01-10,
