Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Campbellford,CAMPBELLFORD FARE SHARE FOOD BANK,,,28 DOXEE ST CAMPBELLFORD ON K0L 1L0
Campbellford,CAMPBELLFORD HIGH SCHOOL MEALS ON WHEELS,,,118 RANNEY ST CAMPBELLFORD ON K0L 1L0
Campbellford,CAMPBELLFORD MEMORIAL HOSPITAL,,18-Dec-2020,146 OLIVER RD CAMPBELLFORD ON K0L 1L0
Campbellford,CAMPBELLFORD SEYMOUR COMMUNITY CENTRE,,,39 DOXSEE ST N CAMPBELLFORD ON K0L 1L0
Brighton,CAMPBELLFORD SEYMOUR COMMUNITY CENTRE,,,39 DOXSEE ST N CAMPBELLFORD ON K0L 1L0
Campbellford,CAMPBELLFORD WHOLESALE LT,,,11 INDUSTRIAL DR CAMPBELLFORD ON K0L 1L0
Cobourg,CAMPBELL'S CONVENIENCE,,,422 KING ST W COBOURG ON K9A 2N7
Laxton,CAMPINN INC,,02-Jun-2020,2612 VICTORIA RD 35 KIRKFIELD ON K0M 2B0
Port Hope Municipality,CANADIAN CENTRE FOR ADDICTIONS,,11-Jun-2020,175 DORSET ST W PORT HOPE ON L1A 1G4
Cobourg,CANADIAN TIRE GAS BAR,,,1125 ELGIN ST W COBOURG ON K9A 5T9
Lindsay,CANADIAN TIRE GAS BAR,,,377 KENT ST W LINDSAY ON K9V 2Z7
Minden,CANADIAN TIRE GAS BAR,,,12627 HWY 35 MINDEN ON K0M 2K0
Campbellford,CAPERS TAP HOUSE,,18-Jun-2020,28 BRIDGE ST W CAMPBELLFORD ON K0L 1L0
Port Hope Municipality,CAPITOL THEATRE,,,20 QUEEN ST PORT HOPE ON L1A 3Z4
Port Hope Municipality,CAPITOL THEATRE - SERVING KITCHEN,,,20 QUEEN ST PORT HOPE ON L1A 3Z4
Campbellford,CAPTAIN GEORGE FISH AND CHIPS,,28-Aug-2020,100 DOXEE ST N CAMPBELLFORD ON K0L 1L0
Brighton,CAPTAIN GEORGE'S,,,11 ELIZABETH ST BRIGHTON ON K0K 1H0
Cobourg,CAPTAIN GEORGE'S,,10-Aug-2020,541 WILLIAM ST COBOURG ON K9A 3A4
Port Hope Municipality,CAPTAIN GEORGE'S - PORT HOPE,,28-May-2020,1-23 MILL ST PORT HOPE ON L1A 2S6
Lindsay,CAPTAIN GEORGE'S FISH & CHIPS,,29-Jan-2021,17 RUSSELL ST W LINDSAY ON K9V 2W5
Hastings Village,CAPTAIN'S TABLE,,27-Feb-2020,8 FRONT ST E HASTINGS ON K0L 1Y0
