Facility Name,Site Address,Last Inspection Date
Truckers Haven - Mister Steak,806607 Oxford Rd 29 Drumbo ON N0J 1G0,12/16/2020
Truckers Haven - Subway,806607 Oxford Rd 29 Drumbo ON N0J 1G0,
Truckers Haven - Wendy's,806607 Oxford Rd 29 Drumbo ON N0J 1G0,
Twice Around Diner,11 Wilmot Dr Drumbo ON N0J 1G0,12/09/2020
Twisted Toppings,224 Furnival Rd Rodney ON N0L 2C0,02/14/2020
Two Forks,295 Bridge St Port Stanley ON N5L 1C2,08/07/2020
Union Burger,524 Dundas St Woodstock ON N4N 1C4,09/17/2020
Upper Deck Bar & Grill,3-534 Elm St St. Thomas ON N5R 1K6,02/28/2020
Upper Thames Brewing Company Limited - Brickhouse Brewpub,190 Fairway Rd Woodstock ON N4T 1W3,
Van-Lahti's Cafe and Eatery,192 Currie Rd Dutton ON N0L 1G0,
Village Restaurant & Pizza,12 Main St W Norwich ON N0J 1P0,
Wave Wellness Retreat,2-230 Lisgar Ave Tillsonburg ON N4G 4L3,
Wayside Dining Lounge,10680 Sunset Drive Talbotville ON N0L 2K0,07/17/2020
Wendy's,1175 Dundas St Woodstock ON N4S 8W3,08/19/2020
Wendy's,570 Norwich Ave Woodstock ON N4V 1C6,
Wendy's,401223 Hwy 401 W Ingersoll ON N5C 3K1,
Wendy's,1063 Talbot St St Thomas ON N5P 1G4,09/16/2020
Why Not Cookies Cafe,373 Talbot St St. Thomas ON N5P 1B7,
Wimpy's,831 Dundas St Woodstock ON N4S 1G4,12/14/2020
Wimpy's Diner,116 Simcoe St Tillsonburg ON N4G 2J1,
Wimpy's Diner,960 Talbot St St. Thomas ON N5P 1E7,07/24/2020
Windjammer Inn,324 Smith St Port Stanley ON N5L 1C6,
Woodstock Fairgrounds - Poultry Barn Food Booth,875 Nellis St Woodstock ON N4S 4C6,06/24/2020
Woodstock Meadows Golf,745364 Oxford Rd 17 Woodstock ON N4S 7W2,
Woodstock Slots,851 Nellis St Woodstock ON N4S 4C6,
Your Fish & Chips,644 Talbot St St Thomas ON N5P 1C8,
