Inspection Result,Facility Name,Site Address,Last Inspection Date
,Sport Chek,2-14 Martindale Cres Ancaster ON L9K 1J9 Canada,30-Oct-19
,SPORT CHEK,N1-75 Centennial Pkwy N Hamilton ON L8E 2P2 Canada,31-Jul-19
,Sport Chek,17 Clappison Avenue Waterdown Ontario L8B 0Y2 Canada,28-Feb-20
,Spring Grill House,1441 Upper James St Hamilton ON L9B 1K2 Canada,01-Feb-21
,Spring Sushi,1508 Upper James St Hamilton ON L9B 1K3 Canada,27-Oct-20
,Springer's Meat & Deli -,19 Morley St Hamilton ON L8H 3R6 Canada,02-Feb-21
,Spur's Roadhouse & Bar,188 Barton St Stoney Creek ON L8E 4W3 Canada,11-Aug-20
,St Ann School Nutrition Program,118 Sherman Ave N Hamilton - Downtown (East) ON L8L 6M6 Canada,22-Feb-19
,St Clair Lodging Home,75 St. Clair Ave Hamilton ON L8M 2N6 Canada,20-Nov-20
,St James United Church,306 Parkside Dr Waterdown ON L0R 2H0 Canada,10-Nov-20
,St Nicholas Parish Hall,153 Nash Rd S Hamilton ON L8K 4J9 Canada,19-Feb-20
,St Paul's United Church,29 Park St W Dundas ON L9H 1X3 Canada,14-Feb-19
,St. Agnes Catholic School- Breakfast Program,80 Colcrest St Hamilton ON L8E 3Y8 Canada,04-Nov-19
,St. Andrew's Lodge,100 Herkimer St Hamilton ON L8P 2G7 Canada,04-Feb-21
,St. Andrew's United Church,479 Upper Paradise Rd Hamilton ON L9C 5E2 Canada,12-Nov-19
,St. Anthony's Parish Hall,830 Barton St E Hamilton ON L8L 7Z5 Canada,27-Oct-20
,St. Augustine Catholic Elementary School,25 Alma St Dundas ON L9H 2C9 Canada,12-Apr-19
,St. Charles Continuing Education,150 East 5th St Hamilton ON L9A 2Z8 Canada,21-Oct-20
,St. David Catholic School,33 Cromwell Crescent Hamilton ON L8G 2E9 Canada,10-Nov-20
,St. Demetrios Church Hall,22 Head St Hamilton ON L9C 6P6 Canada,02-Dec-19
,St. Elizabeth Retirement Residence,391 Rymal Rd W Hamilton ON L9B 1V2 Canada,28-Nov-19
,St. Gregory the Great - B,125 Centennial Pkwy N Hamilton ON L8E 1H8 Canada,11-Sep-19
,St. Jean de Brebeuf Catholic Sec. School,200 Acadia Dr Hamilton ON L8W 1B8 Canada,03-Dec-19
,St. Jean de Brebeuf Secondary School Breakfast Program,200 Acadia Dr Hamilton ON L8W 1B8 Canada,22-Mar-18
,St. John Paul II CES - Nutrition Program,600 Acadia Dr Hamilton ON L8W 3A8 Canada,15-Jun-18
,St. John's Church Hall,272 Wilson St E ANCASTER ON L9G 2S2 Canada,10-Nov-20
,St. Joseph Catholic Elemnetary School,270 Locke St S Hamilton ON L8P 4C1 Canada,
,St. Joseph's Banquet Hall,260 Herkimer Ave Hamilton ON L8R 1P9 Canada,
,St. Joseph's Healthcare,2757 King St E Hamilton ON L8G 5E4 Canada,13-Nov-20
,St. Joseph's Home Care - First Place - Level 2C,350 King St E Hamilton ON L9C 6P6 Canada,07-Jan-21
,St. Joseph's Hospital - Convenience,50 Charlton Ave E Hamilton ON L8N 4A6 Canada,29-Oct-20
,"St. Joseph's Villa Cafe- 1st floor, East Tower",56 Governor's Rd Dundas ON L9H 5G7 Canada,21-Oct-20
,St. Josephs Villa Tuck shop,56 Governors Rd Dundas ON L9H 5G7 Canada,15-Jan-19
,St. Kateri Tekakwitha CES - Nutrition Program,22 Queensbury Dr Hamilton ON L8W 1Z6 Canada,20-Sep-19
,St. Lawrence Catholic Elementary School,88 Macauley St E Hamilton ON L8L 3X3 Canada,
,St. Luke's Elem. School -,345 Albright Rd Hamilton ON L8K 6N3 Canada,24-Oct-19
,St. Luke's Parish Hall,76 Macauley St E - basement Hamilton ON L8L 1E7 Canada,
,St. Marguerite d'Youville Elementary School,20 Bonaparte Way Hamilton ON L9B 2E3 Canada,14-Jun-18
,St. Mary Catholic Secondary School - Nutrition Program,200 Whitney Ave. Hamilton ON L8S 2G7 Canada,05-Nov-20
,St. Mary Catholic Seondary School,200 Whitney Ave Hamilton ON L8S 2G7 Canada,05-Nov-20
,St. Mary's Parish Hall,56 Mulberry St Hamilton ON L8R 2C6 Canada,03-Sep-19
,St. Matthew's House - Food Bank,414 Barton St E Hamilton ON L8N 2Y3 Canada,10-Nov-20
,St. Matthew's House - Seniors Drop-in Center,460 Wentworth N Hamilton ON L8L 2Y3 Canada,17-Dec-19
,St. Michael Catholic School,135 Hester St Hamilton ON L9A 2N9 Canada,
,St. Michaels Anglican Chu,1188 Fennell Ave.E Hamilton ON L8T 1S5 Canada,16-Jan-20
,St. Michael's Church - Banquet Hall,521 West 5th St Hamilton ON L9C 3P7 Canada,04-Dec-19
,St. Nicholas Ukrainian Church,Downstairs-260 Melvin Ave Hamilton ON L8H 2K2 Canada,10-Nov-20
,St. Patrick's Lodge,90 Emerald St S Hamilton ON L8N 2V3 Canada,26-Nov-20
,St. Paul's Anglican Church,1140 King St W Hamilton ON L8S 1M1 Canada,27-Nov-19
,St. Peter & Paul Church Hall,50 Brucedale Ave Hamilton ON L9A 1M8 Canada,
,St. Peter's Residence - Arabella Cafe,125 Redfern Ave Hamilton ON L9C 7W9 Canada,29-Mar-19
,St. Peter's Residence at Chedoke,125 Redfern Ave Hamilton ON L9C 7W9 Canada,26-Nov-19
,St. Stanislaus Church,8 St. Ann St Hamilton ON L8L 6P8 Canada,22-Feb-19
,St. Thomas Church,715 Centre Rd Waterdown ON L0R 2H0 Canada,01-Mar-19
,St. Vladimirs Church,855 Barton St E Hamilton ON L8L 3B4 Canada,29-Oct-19
,St.Thomas More -Cafeteria,1045 Upper Paradise Rd Hamilton ON L9B 2N4 Canada,29-Oct-20
,Stacked,2176 Rymal Rd E Glanbrook ON Canada,11-Jan-21
,Stacked Pancake & Breakfast House,16 Clappison Ave. Waterdown ON L8B 0Y2 Canada,16-Dec-20
,STACKED PANCAKE HOUSE,25BC-73 WILSON ST.W Ancaster ON L9G 1N1 Canada,09-Feb-21
,Stage Diner,516 Concession str,05-Nov-20
,Stairways Coffee House,225 King William St Hamilton ON L8R 1B1 Canada,30-Oct-20
,Staples,80 Dundas St E Waterdown ON Canada,28-Feb-20
,Staples,2130 Rymal Road East Glanbrook ON Canada,26-Sep-19
,Staples,"1267 Barton St. E., Bldg F Hamilton ON Canada",06-Nov-19
,Staples,970 Upper Wentworth St. Hamilton ON L9A 4V8 Canada,08-Jul-19
,Staples Canada ULC,1015 GOLF LINKS RD ANCASTER,
,Star Pizza,450 Regional Rd 8 Hamilton ON L8G 1G6 Canada,23-Sep-20
,Starbucks,999 Upper Wentworth St Hamilton Ontario Canada,27-Jul-20
,Starbucks,369 HIGHWAY 8 STONEY CREEK ON L8G 1E7 Canada,08-Jan-21
,Starbucks,1508 Upper James St Hamilton ON L9B 1K3 Canada,15-Mar-19
,Starbucks,151 York Blvd Hamilton Ontario Canada,19-Nov-20
,Starbucks,1100 Wilson St W Ancaster ON L9G 3K9 Canada,05-Mar-20
,Starbucks,1783 Stone Church Rd E -Bldg 3 Stoney Creek ON L8J 0B4 Canada,17-Jan-19
,Starbucks,116 King St W Hamilton ON L8P 4V3 Canada,05-Aug-20
,Starbucks,158 Locke St S Hamilton ON L8P 4A9 Canada,02-Feb-21
,Starbucks,737 Golf Links Rd ANCASTER ON L9G 3K9 Canada,13-Jan-21
,Starbuck's - Metro,1370 South Service Road Stoney Creek ON Canada,
,Starbucks - Metro,1161 Barton St E Hamilton ON L8H 2V4 Canada,14-Jan-21
,Starbucks Coffee,1350 South Service Road Stoney Creek ON L8E 5C5,07-Jan-21
,Starbucks Coffee,112 King St E Hamilton ON L8N 1A8 Canada,15-Jan-20
,Starbucks Coffee,1-6 Clappison Ave Waterdown ON L0R 2H2 Canada,19-Oct-20
,Starbucks Coffee,90 Hwy 8 Stoney Creek ON L8G 4H3,28-Jul-20
,Starbucks Coffee,1405 Upper James St Hamilton ON L9B 1K2 Canada,20-Jan-21
,Starbucks Coffee Canada,46 King St W Dundas ON L8G 1H8 Canada,16-Nov-20
,STARBUCKS COFFEE CANADA INC,1796 STONE CHURCH RD.E STONEY CREEK,11-Nov-20
,Starbucks Coffee Canada Inc.,1341 Main St W. Hamilton ON L8S 1C6 Canada,27-Oct-20
,Stardust Bar Ltd.,353 Barton St E Hamilton ON L8L 2X8 Canada,08-Sep-20
,Starlite Drive-In - Snack Bar,59 Green Mountain Rd E Stoney Creek ON L8H 2W3 Canada,21-Nov-20
,Staropolskie Delicatessan,711 Barton St E Hamilton ON L8L 3A7 Canada,08-Sep-20
,Starsky Fine Foods,685 Queenston Rd Hamilton ON L8G 1A1 Canada,04-Nov-20
,Starwood Seafood & Grill,3-1686 Main St W Hamilton ON L8S 0A2 Canada,20-Aug-20
,State & Main,1591 Upper James Street Hamilton,03-Nov-20
,Staybridge Suites Hotel Hamilton,20 Caroline St.S Hamilton ON L8P 0B1 Canada,21-Oct-20
,Steel City Billiards Inc,1829 Main St W Hamilton ON L8S 1H6 Canada,26-Feb-20
,Steel City Shawarma,1136 Fennell Avenue East Hamilton ON L8T 1S5 Canada,08-Dec-20
,STEELTOWN GARAGE CO,8 Barton St. E Hamilton ON L8L 2V5 Canada,07-Jan-21
,Steve's Open Kitchen,149 James St S Hamilton ON L8P 2Z5 Canada,26-Aug-20
,Stikits,1129 Hwy 5 W Flamborough,
,Stinson Grocery Store,142 Stinson St Hamilton ON L8N 1S6 Canada,27-Jan-20
,Stipley Kitchen & Bakehouse,2C-107 King St E Hamilton ON L8N 1A9 Canada,16-Dec-20
,Stir It Up! Inc,312 Barton St E Hamilton ON L8L 2X5 Canada,01-Jun-20
,Stoneroads Bar & Grill Inc.,533 - 537 Concession St Hamilton ON L8V 1A7 Canada,11-Aug-20
,Stonewalls,339 York Blvd Hamilton ON L8R 3K7 Canada,26-Aug-20
,Stoney Creek Food Bank,605 Hwy 8 Stoney Creek ON L8G 5G2 Canada,26-Aug-20
,Stoney Creek Grocers,178 Barton Street Stoney Creek ON L8E 4W2 Canada,06-Nov-20
,Stoney Creek Lions Club,14 Sherwood Park Dr StoneyCreek ON L0R 2L0 Canada,17-Oct-19
,Stop Restaurant Bar and Grill,1042 Barton St E Hamilton ON L8L 3E5 Canada,18-Sep-20
,Strabane Ball Park - Refr,1315 Brock Rd Flamborough ON Canada,02-Oct-19
,STRATA Montessori School - Kitchen,575 Lions Club Rd Dundas ON L9G 5E3 Canada,01-Feb-21
,Strathcona School,10 Lamoreaux St Hamilton ON L8P 1V1 Canada,19-Dec-19
,Studio 205,205 King Street East Hamilton ON L8N 1B3 Canada,10-Dec-19
,"Stuffed Inc., Plate# 152",22 Victoria St. N. Waterdown ON L0R 2H0 Canada,12-Jun-20
,Subway,2-1405 Upper Ottawa St Hamilton ON L8W 1N3 Canada,21-Oct-20
,Subway,1000 Upper Gage Ave Hamilton ON L8E 0C6 Canada,29-Sep-20
,Subway,38 York Rd Dundas ON L9H 1L4 Canada,12-Jan-21
,Subway,301 Fruitland Rd Stoney Creek ON L8E 5M1 Canada,02-Feb-21
,Subway,1160 UPPER PARADISE RD HAMILTON ON L9B 2N3 Canada,07-Oct-20
,Subway,691 Queenston Rd Hamilton ON L8G 1A1 Canada,27-Jan-21
,Subway,"661 Upper James St, Bldg B Hamilton ON L9C 2Z3 Canada",13-Jan-21
,Subway,847 Barton St E Hamilton,21-Oct-20
,Subway,13 King St E Hamilton ON L8N 1A1 Canada,23-Oct-20
,Subway,1550 Upper James St Hamilton ON L9B 2L6 Canada,05-Nov-20
,Subway,75 Centennial Pkwy N Hamilton ON L8E 2P2 Canada,18-Aug-20
,Subway,279 Dundas St. E Waterdown ON L0R 2H0 Canada,30-Jul-20
,Subway,188 Barton St Stoney Creek ON L8E 4W3 Canada,05-Feb-21
,Subway,1119 Fennell Ave E Hamilton ON L8T 1S2 Canada,20-Oct-20
,Subway,247 Centennial Pkwy N Hamilton ON L8E 2X3 Canada,01-Feb-21
,Subway,211 John St S Hamilton ON L8N 2C7 Canada,21-Oct-20
,Subway,920 Upper Wentworth St Hamilton ON L9A 5C5 Canada,04-Sep-20
,Subway,105-830 Upper James St Hamilton ON L9C 3A4 Canada,22-Oct-20
,Subway,11-119 Osler Dr Dundas ON L9H 6X4 Canada,14-Jul-20
,Subway,1018 King St W Hamilton ON L8S 1L4 Canada,08-Feb-21
,Subway,5 - 6th Concession Rd E Millgrove ON L0R 1V0 Canada,20-Oct-20
,Subway,2172 Rymal Rd E Glanbrook ON L0R 1P0,15-Jan-21
,Subway,L-1275 Barton St E Hamilton - Downtown (East) ON L8H 2V4 Canada,11-Jan-21
,Subway,101 Queenston Rd Hamilton ON L8K 1G1 Canada,29-Jan-21
,Subway,910 Queenston Rd Stoney Creek ON L8G 1B5 Canada,11-Aug-20
,Subway,2-6 Clappison Ave Waterdown ON L9J 1E8 Canada,30-Jul-20
,Subway,1051 Garner Rd W Ancaster ON L9G 2K9 Canada,25-Jan-21
,Subway,2525 Regional Road 56 Binbrook ON L0R 1C0 Canada,22-Jan-21
,Subway,905 Rymal Rd E Hamilton ON L8W 3M2 Canada,21-Oct-20
,Subway,54 Wilson St W Ancaster ON L9G 3T8 Canada,22-Jan-21
,Subway,810 Main St E Hamilton ON L8M 1L6 Canada,15-Jul-20
,Subway,F110-999 Upper Wentworth St Hamilton ON L9A 4X5 Canada,22-Jul-20
,SUBWAY,1374 SOUTH SERVICE RD STONEY CREEK,08-Jan-21
,Subway #11947,31-580 Mohawk Rd W Hamilton ON L9C 1X6 Canada,04-Dec-20
,Subway #13152,1333 Main St W Hamilton ON L8S 1C6 Canada,05-Aug-20
,Subway #17344,1015 Golf Links Rd ANCASTER ON L9K 1K1 Canada,11-Jan-21
,Subway #2913,8-50 Dundurn St S Hamilton ON L8P 9W3 Canada,06-Jan-21
,Subway Restaurants,447 Concession St Hamilton ON L9A 1C1 Canada,19-Jan-21
,Subway Sandwich,1051 Garner Rd W Ancaster ON L9G 3K9 Canada,
,Subway Store #52372,108 York Boulevard Hamilton ON L8R 1R6 Canada,28-Jul-20
,Suds & Duds Variety,1205 Rymal Rd E Hamilton ON L8W 3M9 Canada,16-Jul-19
,Sugar Marmalade,65 King St E Hamilton ON L8N 1A6 Canada,19-Aug-20
,Sunny Corner Bar,302 James Street North Hamilton ON Canada,20-Nov-20
,Sunnyside Grill,930 Upper Paradise Rd Hamilton ON L9B 2N1 Canada,25-Jan-21
,Sunnyside Lodge,11 Lake Ave Dr Stoney Creek ON L8G 1X5 Canada,23-Oct-20
,Sunrise Convenience,134 Ottawa St N. Hamilton ON L8H 3Z3 Canada,14-Feb-20
,Sunrise Lodge,160 Park St S Hamilton ON L8P 3E8 Canada,13-Jan-21
,Sunrise Manor Lodge (2010),18 Victoria Ave N Hamilton ON L8L 5E1 Canada,18-Aug-20
,Sunset Grill,1374 South Service Rd Stoney Creek,22-Jan-21
,Sunset Grill,11-80 Dundas St. E Waterdown ON L9H 0C2 Canada,29-Oct-20
,Sunset Grill,1299 Barton St E. Hamilton ON L8H 2V4 Canada,27-Jan-21
,Sunset Grill,N8-75 Centennial Pky N Hamilton ON L8E 2P2 Canada,17-Nov-20
,SUNSET GRILL,2120 RYMAL RD.E GLANBROOK,
,Sunset Grill,8-1179 Wilson St W Hamilton ON L9G 3K9 Canada,18-Jan-21
,Sunshine Banquet Hall,5 Merchison Ave Hamilton ON L8H 3C8 Canada,03-May-19
,Sunward Cafe AKA Peddles Restaurant & Tave,1490 Barton St E Hamilton ON L8H 2X2 Canada,01-Oct-20
,Super 8,2975 Homestead Dr. Glanbrook ON L0R 1W0 Canada,13-Sep-18
,Super Pizza & Wings Inc.,1531 Barton St E Hamilton ON L8H 2X5 Canada,27-Oct-20
,Super Rainbow Variety,30 Rymal Rd E Hamilton ON L9B 1T7 Canada,30-Jul-19
,Super Sausage,1439 Upper Ottawa St Hamilton ON L8W 3J6 Canada,14-Jan-21
,Super Sausage Deli,1151 Stone Church Rd E Hamilton ON L8W 2C6 Canada,02-Oct-19
,Supercare Pharmasave Hamilton,5-1575 Upper Ottawa St Hamilton ON Canada,02-Aug-19
,SuperTorino's 2 for 1 piz,521 Highway No. 8 Stoney Creek ON L8G 1G4 Canada,19-Nov-20
,Supplement Dude,610 South Service Road Stoney Creek ON L8E 4G3 Canada,04-Jun-20
,Supreme BBQ Inc,127 MacNab St N Hamilton ON L8R 2M2 Canada,11-Jan-21
,Supreme Pizza & Wings,"4-1216 Upper Wentworth St, Unit# Hamilton ON L9A 4W2 Canada",28-Oct-20
,Sushi - Fortino's,50 Dundurn St S Hamilton ON Canada,29-Oct-20
,SUSHI AZUKI,184 LOCKE STREET. S HAMILTON ON L8P 4B3 Canada,27-Jan-21
,Sushi Bar Fortino's Store #91,21 Upper Centennial Pkwy Stoney Creek ON Canada,05-Mar-20
,Sushi on Fennell,669 Fennell Ave.East Hamilton,05-Nov-20
,Sutha Esso,1340 Main St. E Hamilton Ontario L8K 1B5 Canada,22-Aug-19
,Suzy Sweet Tooth,811 King St E Hamilton ON L8M 1A8 Canada,22-Dec-20
,"Svatoslav Pavelka, Plate# 020",18 James Street South Hamilton ON L8P 4R5 Canada,03-Sep-20
,Swadesh Supermarket,4 & 5-1439 Upper Ottawa Street Hamilton ON L8E 5T6 Canada,18-Nov-20
,Sweet & Simple,942 Main St. E Hamilton Ontario L8M 1M8,02-Dec-20
,Sweet Aileens Bakery,10 SUMMERBERRY WAY HAMILTON ON L9B 0G2 Canada,
,Sweet Avenue Cakery,286 Dewitt Rd Stoney Creek ON L8E 2R1 Canada,12-Nov-19
,Sweet Beets,295 Ottawa St N Hamilton ON L8H 3Z8 Canada,03-Sep-20
,Sweet Celebrations,461 Green Rd Stoney Creek ON L8E 5B4 Canada,21-Nov-19
,SWEET HOUSE,10-257 Carla Avenue Stoney Creek Ontario L8G 3M9 Canada,02-Dec-19
,Sweet Jesus,119A-999 Upper Wentworth St Hamilton ON L9A 4X5 Canada,14-Jul-20
,Sweet Paradise Bakery & D,630 Stone Church Rd W Hamilton ON L8B 0K4 Canada,04-Nov-20
,Sweet Paradise Bakery & Deli,419 Dundas St. E Waterdown Ontario L8B 0K4 Canada,11-Jan-21
,Sweet Surprise,2-29 Sunnyhurst Ave Hamilton ON L8M 2K1 Canada,27-Aug-20
,Sweet Treats For U - Plate 175,283 East 44th Str. Hamilton ON L8T 3H9 Canada,06-Jul-20
,Swift Mart,234 Governor's Rd Dundas Ontario,29-Sep-20
,Swiss Chalet,1317 Upper James St Hamilton ON L9C 3B3 Canada,15-Oct-20
,Swiss Chalet,1575 Upper Ottawa St Hamilton ON L8W 3E2 Canada,20-Nov-20
,Swiss Chalet,151 York Blvd Hamilton ON L8R 3M2 Canada,13-Mar-20
,Swiss Chalet,1000 Golf Links Rd ANCASTER ON L9G 3K9 Canada,26-Aug-20
,Swiss Chalet #1105,735 Queenston Rd Hamilton ON L8G 1A1 Canada,20-Nov-20
,Symposium Cafe,64 Hamilton St N Waterdown ON L0R 2H6 Canada,22-Sep-20
,Symposium Cafe,2247 Rymal Rd. E Stoney Creek ON L8J 2V8 Canada,20-Jan-21
,Symposium Cafe Ancaster,1146 Wilson St W Ancaster ON L9G 3K9 Canada,08-Feb-21
,Synonym Shop Inc.,328 James St. N Hamilton Ontario L8L 1H2 Canada,22-Oct-20
,Szechuan Noodle Bowl,117 King Street East Hamilton ON L8N 1A9 Canada,13-Nov-20
,T & T Supermarket-Grocery,115 Park St N and 81 Cannon St W Hamilton ON L8R 2N2 Canada,14-Jan-21
,T.J. King Karaoke,212 King St E. Hamilton ON L8N 1B6 Canada,
,Tabone Academy Of Music,969 Upper Ottawa St Hamilton Ontario,04-Sep-20
,Tabouli,10-2 King St W Hamilton ON L8P 1A1 Canada,30-Jul-20
,Taco Bell,677 Upper James St Hamilton ON L9C 5R9 Canada,12-Jan-21
,Taco Bell,744 Queenston Rd Hamilton ON L8G 1A4 Canada,08-Oct-20
,Taco Bell,2160 Rymal Rd E Hannon ON L0R 1P0 Canada,17-Jun-20
,Taco Bell,1550 Upper James St Hamilton ON L9B 1K3 Canada,18-Feb-20
,Taco Del Mar,5-1331 Main St W Hamilton ON L8S 1C6 Canada,22-Nov-19
,Taj Mahal Spices and Cheese Imc./ Ancaster Cheese,3 B-356 Wilson St East Ancaster ON L9G 2C2 Canada,21-Jan-21
,Tajmahal Halal Meat and Groceries,222-77 James Street North Hamilton ON L8R 2K3 Canada,05-Aug-20
,Tall Tree Sandwich Company Inc.,1000 King Street East Hamilton ON L8M 1C8 Canada,09-Nov-20
,Tally Ho,1536 Main St W Hamilton ON L8S 1E4 Canada,28-Aug-20
,Tamahaac Club,RR#1-180 Filman Rd Ancaster ON L9G 3K9 Canada,01-Oct-20
,Taps Bar & Grill,128 Parkdale Ave N Hamilton ON L8H 5X2 Canada,11-Aug-20
,Tara Senior Residence,843 Mohawk Rd E Hamitlon ON L8T 2R4 Canada,09-Oct-20
,Tassi's Homemade Foods,811 King St E HAMILTON,20-Jan-21
,Tasty Pizza,14-1119 Fennell Ave. E Hamilton Ontario L8T 1S2 Canada,20-Oct-20
,Taylor's Tea Room,11 King St W Dundas ON L9H 1T5 Canada,05-Feb-21
,TCBY,1059 King St W Hamilton ON L8S 1L8 Canada,24-Sep-20
,TEA AMO,665 TRADEWIND DR ANCASTER ON L9K 0E5 Canada,04-Nov-20
,"Tea Amo, Plate# 146",24 Toulon Avenue Ancaster ON L9K 0E5 Canada,02-Jun-20
,Tea at the White House,1-35 Main St N Flamborough ON L0R 2H0 Canada,12-Nov-20
,Tea Hut,100 Main St E Hamilton ON L8N 3W4 Canada,03-Dec-20
,Tea With You,925 King St. W. Hamilton,10-Jun-20
,teafun,139 King St E Hamilton ON L8N 1B1 Canada,21-Oct-20
,Team Chef Life,260 KENILWORTH AVE.N HAMILTON ON L8H 4S7 Canada,11-Sep-20
,Templemead School,62 Templemead Hamilton ON L8W 3Z7 Canada,12-Jun-18
,Tenant Association Community Kitchen,200 Jackson St W Hamilton ON L8P 4R9 Canada,23-Aug-19
,Tenth Moon Mothercare,811 King St E Hamilton ON L8K 2E9 Canada,29-Nov-19
,Terra Greenhouse Market,8 Fifth Concession str E Flamborough Waterdown,13-Jan-20
,Terra Winter Market Hamilton,"340 Regional Rd 20, Rural Route 1 Hannon ON L0R 1P0 Canada",26-Jan-19
,Texas Tornado - Plate 104 (Old Plate #259),mobile,15-Oct-18
,THAI CHILI RESTAURANT,242 KING ST. W HAMILTON ON L8P 1A9 Canada,11-Sep-20
,Thai Diner,826 Queenston Rd Hamilton ON L8G 4A8 Canada,04-Sep-20
,Thai Express,G22-75 Centennial Pkwy. N Hamilton ON Canada,18-Feb-20
,Thai Express,999 Upper Wentworth St HAMILTON ON L9A 4X5 Canada,04-Nov-20
,Thai Orchid,168 Highway No. 8 Stoney Creek ON L8G 1C3 Canada,09-Feb-21
,Thai Tamarind Inc.,1654 Wilson St W. Ancaster ON L0R 1J0 Canada,23-Jan-20
,Thai Waterdown,283 Dundas St E Waterdown ON L0R 2H0 Canada,29-Sep-20
,Thango Meats Inc,35 York Blvd. Hamilton ON L8R 3K7 Canada,03-Jul-20
,THAT PLANTED FORK,Operating inside Sweet Beets 295 OTTAWA ST.N HAMILTON,03-Sep-20
,That Planted Fork,Stall 28 35 York Blvd Hamilton ON,
,The Academy of All Things Awesome,145 Main St E Hamilton ON L8N 1G4 Canada,23-Apr-19
,The Alley,1050 King St W Hamilton ON L8S 1L5 Canada,03-Feb-21
,The Arch Noodle House,1309 Main St W Hamilton ON L8S 1C5 Canada,01-Oct-20
,THE ARGYLE GOLF BAR INC,304 OTTAWA STREET. N HAMILTON ON L8H 3Z9 Canada,
,The Augusta House,17 Augusta St Hamilton ON L8N 1P6 Canada,18-Dec-19
,The Banana Hut,6-2 Bold St Hamilton Ontario L8P 1T2 Canada,26-Jun-20
,The Bean Bar,1012 King St W Hamilton Ontario,14-Jan-21
,The Bean Ladies,B-370 Mill St L9H 2M1 Canada,27-May-19
,The Binbrook Grill,3020 Binbrook Rd Glanbrook ON L0R 1C0 Canada,15-Dec-20
,The Blue Collar Pub,1B-549 Stone Church Rd E HAMILTON ON L8W 3L2 Canada,05-Nov-20
,The Blue Grotta,23 John St N Hamilton ON L8R 1H1 Canada,
,The Bombay Grill,32-1070 Stonechurch Rd E Hamilton ON L8W 3K8 Canada,21-Jan-21
,The Brain,199 James St N Hamilton ON L8R 2L2 Canada,29-Jul-19
,The Brook Family Restaurant,"2537 Regional Rd. 56, PO BOX 441 Binbrook ON L0R 1C0 Canada",01-Dec-20
,The Burger's Priest,1591 Upper James St Hamilton ON L9B 0H7 Canada,01-Feb-21
,The Burnt Tongue,10 Cannon St E Hamilton ON L8L 1Z5 Canada,08-Feb-21
,The Burnt Tongue on Locke,182 Locke St S Hamilton - Downtown (Centre) ON L9H 4R1 Canada,22-Jan-21
,The Cake Joss,101 Cameron Ave Dundas Ontario L9H 1R3 Canada,19-Oct-20
,The Capitol Bar,973 King St. E Hamilton Ontario L8M 1C3,26-Nov-20
,The Cardinal Retirement Residence,10 Herkimer St Hamilton ON L8P 2G2 Canada,12-Nov-20
,The Carlisle,467 Main St E Hamilton ON L8N 1K1 Canada,09-Mar-20
,THE CASUAL GOURMET,1027 KING ST.W HAMILTON,20-Aug-20
,"The Coffee Carriage, Plate# 163",18 Begue St Dundas ON L9H 2N2 Canada,01-Feb-21
,The Cotton Factory,270 Sherman Av N Hamilton ON L8L 6N4 Canada,01-May-19
,The Darway`s African Food & Beauty Supply,897 King St E Hamilton ON L8M 1B5 Canada,
,The Diplomat Inc,43 King William St Hamilton Ontario L8R 1A2,13-Nov-20
,The Dirty South,590 Concession ST Hamilton ON L8V 2W5 Canada,19-Nov-20
,The Dirty South,10 Barton St E Hamilton ON L8L 2V5 Canada,09-Oct-20
,The Dirty South - Kreative Katering Concepts - Plate #092 (Old Plate# 267),29 Sunnyhurst Ave Stoney Creek,27-Aug-20
,The Dog House - Plate # 122,792 Safari Road - Gulliver's Lake RV Resort Flamborough Ontario L0R 1V0 Canada,12-Jun-19
,The Duke's Pub Pasta & Pizzeria,303 BARTON ST.E HAMILTON,21-Sep-20
,The Earls of Gray,8-288 Grays Rd Stoney Creek ON L8E 1V5 Canada,03-Nov-20
,The Egg And I,1760 Upper James St Hamilton ON L9B 1K9 Canada,05-Nov-20
,The Empowered Vegan,811 King St. E Hamilton,08-May-20
,The End Zone,1303 Main St E Hamilton - Downtown (East ON L8K 1B3 Canada,26-Jan-21
,The Express Restaurant,349 Grays Rd Hamilton ON L8E 2Z1 Canada,02-Dec-20
,The Express Restaurant,1034 King St W Hamilton ON L8S 1L5 Canada,28-Sep-20
,The Famous Owl of Minerva,309 Main Street East Hamilton ON L8N 1H8 Canada,26-Oct-20
,THE FIZZ SODAS & SANDWICHES O/A SMOKE & CANDY BARBECUE CO,1632 WILSON ST.W ANCASTER,13-May-20
,THE FLOUR POT INC.,256 KING ST.W HAMILTON,
,THE FLYIN G'NOSH,35 York Blvd Hamilton ON,28-Aug-20
,The French Inc.,37-39 King William St Hamilton ON L8R 1A1 Canada,18-Nov-20
,The Fritter Shop,35 York Blvd Hamilton L8R 3K1 Canada,04-Dec-20
,The Goji Berry: Practice & Dispensary,944 King St W Hamilton ON L8S 1K8 Canada,04-Mar-19
,The Governor,246 Governors Rd Hamilton ON L9H 3K2 Canada,14-Aug-19
,The Greek Kitchen,C3-1170 Rymal Rd E Hamilton ON L8W 3N7 Canada,20-Jan-21
,The Green Bar,236 James St N Hamilton ON L8R 2L3 Canada,23-Sep-20
,The Hamilton Club - Dining Room,6 Main St E Hamilton ON L8N 1E8 Canada,21-Oct-19
